chapter_id,chapter_name,section_id,section_name,req_id,req_description,L
V1,エンコーディングとサニタイゼーション,V1.1,エンコーディングおよびサニタイゼーションアーキテクチャ,V1.1.1,入力は一度だけ標準形式にデコードまたはアンエスケープされ、その形式でエンコードされたデータが期待される場合にのみデコードされ、これは入力をさらに処理する前に行われる。たとえば、入力バリデーションやサニタイゼーションの後には実行されない。,2
V1,エンコーディングとサニタイゼーション,V1.1,エンコーディングおよびサニタイゼーションアーキテクチャ,V1.1.2,アプリケーションはそれが意図されているインタプリタまたはインタプリタ自体によって使用される前の最終ステップとして、出力エンコーディングおよびエスケープを実行する。,2
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.1,HTTP レスポンス、HTML ドキュメント、XML ドキュメントの出力エンコーディングは、メッセージやドキュメント構造の変更を避けるために、HTML 要素、HTML 属性、HTML コメント、CSS、HTTP ヘッダフィールドに関連する文字をエンコードするなど、要求されるコンテキストに関連している。,1
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.2,URL を動的に構築する場合、信頼できないデータはそのコンテキストに応じてエンコードされている (例: クエリやパスパラメータの URL エンコーディングや base64url エンコーディング)。安全な URL プロトコルのみが許可されるようにしている (例: javascript: や data: を許可しない)。,1
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.3,出力エンコーディングまたはエスケープは、JavaScript コンテンツ (JSON を含む) を動的に構築するときに使用され、メッセージやドキュメント構造の変更を回避している (JavaScript および JSON インジェクションを回避するため)。,1
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.4,"データ選択またはデータベースクエリ (SQL, HQL, NoSQL, Cypherなど) がパラメータ化クエリ、ORM、エンティティフレームワークもしくは他の方法により保護されており、SQL インジェクションや他のデータベースインジェクション攻撃の影響を受けない。これはストアドプロシージャを記述する際にも関係する。",1
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.5,アプリケーションが OS コマンドインジェクションに対して保護していること、およびオペレーティングシステムコールがパラメータ化された OS クエリを使用するか、コンテキストに応じたコマンドライン出力エンコーディングを使用する。,1
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.6,アプリケーションが LDAP インジェクション脆弱性に対して保護している、または LDAP インジェクションを防ぐために特定のセキュリティ管理策が実装されている。,2
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.7,アプリケーションは、クエリパラメータ化やコンパイル済みクエリを使用することで、XPath インジェクション攻撃から保護されている。,2
V1,エンコーディングとサニタイゼーション,V1.2,インジェクション防御,V1.2.8,"LaTeX プロセッサは (""--shell-escape"" フラグを使用しないなど) 安全に構成されており、LaTeX インジェクション攻撃を防ぐためにコマンドの許可リストを使用している。",2
